Date,District,Ward,Types of houses,House ownership certificate,Number of floors,Number of bedrooms,Total rooms,Area (m2),Length (m),Width (m),Price (million)/ m2,Total price (million)
08/03/2020,Hai Ba Trung,Minh Khai,Alley house,Yes,3,4,8,63,9.69,6.50,5.63,354.69
08/03/2020,Ha Dong,Mo Lao,Alley house,No,4,3,7,33,9.62,3.43,83.33,2749.89
08/03/2020,Nam Tu Liem,My Dinh 1,Alley house,Yes,4,3,7,30,10.00,3.00,83.33,2499.9
08/03/2020,Nam Tu Liem,My Dinh 1,Townhouse,Yes,5,4,10,35,9.46,3.70,85.71,2999.85
08/03/2020,Dong Da,Nam Dong,Villa,Yes,4,4,11,100,13.54,7.38,162,16200
08/03/2020,Cau Giay,Nghia Do,Townhouse,Yes,5,4,10,42,8.40,5.00,104.76,4399.92
08/03/2020,Cau Giay,Nghia Do,Alley house,Yes,5,6,11,45,9.00,5.00,111.11,4999.95
08/03/2020,Thanh Xuan,Nhan Chinh,Alley house,Yes,2,2,6,33,9.43,3.50,74.24,2449.92
08/03/2020,Thanh Xuan,Nhan Chinh,Alley house,Yes,5,5,10,35,9.54,3.67,85.71,2999.85
08/03/2020,Thanh Xuan,Nhan Chinh,Alley house,Yes,5,4,8,40,12.05,3.32,112.5,4500
08/03/2020,Ha Dong,Phu La,Terraced house,Yes,4,6,12,91,11.38,8.00,69.01,6279.91
08/03/2020,Thanh Xuan,Phuong Liet,Alley house,Yes,5,4,8,50,10.00,5.00,124,6200
08/03/2020,Tay Ho,Quang An,Alley house,Yes,4,3,7,30,8.11,3.70,80,2400
08/03/2020,Ha Dong,Quang Trung,Alley house,Yes,5,3,7,33,9.43,3.50,66.67,2200.11
08/03/2020,Hai Ba Trung,Quynh Loi,Alley house,Yes,4,4,8,35,8.86,3.95,85.71,2999.85
08/03/2020,Thanh Tri,Ta Thanh Oai,Alley house,Yes,5,5,10,40,11.43,3.50,45,1800
08/03/2020,Hoang Mai,Tan Mai,Alley house,Yes,4,2,6,28,9.33,3.00,85.36,2390.08
08/03/2020,Hoang Mai,Thanh Tri,Alley house,Yes,5,3,7,32,9.14,3.50,67.19,2150.08
08/03/2020,Dong Da,Thinh Quang,Alley house,Yes,4,3,7,40,11.43,3.50,95,3800
08/03/2020,Dong Da,Thinh Quang,Alley house,Yes,5,6,11,54,10.80,5.00,87.04,4700.16
08/03/2020,Thanh Xuan,Thuong Dinh,Alley house,No,3,2,6,64,9.85,6.50,67.97,4350.08
