Date,District,Ward,Types of houses,House ownership certificate,Number of floors,Number of bedrooms,Total rooms,Area (m2),Length (m),Width (m),Price (million)/ m2,Total price (million)
07/29/2020,9,Dong Mac,1,Yes,5,5,10,45.0,7.76,5.8,157.78,7100.1
07/29/2020,9,Dong Tam,2,Yes,5,5,11,70.0,10.77,6.5,214.29,15000.3
07/29/2020,8,Duong Noi,1,No,5,4,8,35.0,9.43,3.71,65.71,2299.85
07/29/2020,12,Gia Thuy,2,Yes,5,3,9,34.0,10.27,3.31,88.24,3000.16
07/29/2020,15,Ha Dinh,1,No,5,3,7,32.0,8.89,3.6,84.38,2700.16
07/29/2020,7,Kham Thien,1,Yes,4,3,7,32.0,8.21,3.9,85.94,2750.08
07/29/2020,7,Kham Thien,1,Yes,2,2,6,40.0,11.43,3.5,52.5,2100.0
07/29/2020,15,Khuong Trung,1,Yes,4,3,7,30.0,10.0,3.0,75.0,2250.0
07/29/2020,15,Khuong Trung,1,No,4,3,7,35.0,9.72,3.6,77.14,2699.9
07/29/2020,15,Khuong Trung,1,Yes,3,3,7,40.0,10.9,3.67,62.5,2500.0
07/29/2020,15,Khuong Trung,2,Yes,5,6,12,50.0,10.0,5.0,128.0,6400.0
07/29/2020,15,Khuong Trung,1,Yes,5,6,11,50.0,8.62,5.8,128.0,6400.0
07/29/2020,4,Kim Ma,1,No,5,3,7,23.0,5.75,4.0,100.0,2300.0
07/29/2020,8,La Khe,1,Yes,5,3,7,33.0,9.43,3.5,66.67,2200.11
07/29/2020,8,La Khe,1,Yes,5,4,8,33.0,9.43,3.5,62.12,2049.96
07/29/2020,8,La Khe,1,Yes,5,4,8,34.0,9.71,3.5,72.06,2450.04
07/29/2020,8,La Khe,1,Yes,5,4,8,34.0,9.71,3.5,66.18,2250.12
07/29/2020,8,La Khe,1,No,4,4,8,36.0,10.29,3.5,66.67,2400.12
07/29/2020,8,La Khe,1,Yes,3,2,6,41.0,8.2,5.0,53.66,2200.06
07/29/2020,2,La Phu,1,Yes,3,3,7,33.0,9.12,3.62,40.91,1350.03
07/29/2020,7,Lang Ha,1,Yes,6,3,7,34.0,9.71,3.5,100.0,3400.0
07/29/2020,7,Lang Thuong,1,Yes,4,3,7,32.0,9.14,3.5,76.56,2449.92
