Date,District,Ward,Types of houses,Floors,Rooms,Area,Price (million)/m2,Total Price (million)
08/01/2020,-1.0162846280468234,602,3,0.5488367485298231,0.12316058118968629,-0.042785982149018,-0.17355082316576043,-0.06129656806918955
06/23/2020,0.995779062100392,1303,3,-0.40240091323878513,0.12316058118968629,-0.042785982149018,-0.1895218362963611,-0.06215248200872638
08/04/2020,-0.44140928800476187,804,3,-0.40240091323878513,-0.6516843351139304,-0.0470773632010962,-0.6083456846332337,-0.08868718359667131
08/03/2020,-0.44140928800476187,804,3,-0.40240091323878513,-0.6516843351139304,-0.0470773632010962,-0.5195468516270938,-0.08440419024322902
08/03/2020,-0.44140928800476187,804,3,0.5488367485298231,0.12316058118968629,-0.039567446359959346,-0.22746896349466833,-0.059588335028661954
07/28/2020,1.5706544021424536,1502,3,0.5488367485298231,-0.6516843351139304,-0.039567446359959346,-0.6433541454155105,-0.08354793393811638
07/02/2020,-1.591159968088885,401,2,0.5488367485298231,0.12316058118968629,-0.042785982149018,2.4616663433833543,0.07992923195438704
07/30/2020,1.2832167321214227,1401,3,1.5000744102984314,0.12316058118968629,-0.042785982149018,-0.07772474438215625,-0.056161084431968586
07/31/2020,-0.1539716179837311,903,2,3.402549733835648,2.447695330100536,0.06020716310085886,1.6348789356384172,0.42228522153299536
07/25/2020,0.42090372205833043,1102,3,0.5488367485298231,-0.6516843351139304,-0.0384946010969398,-0.5292572276104991,-0.075846420310164
08/01/2020,-0.44140928800476187,804,3,-0.40240091323878513,-0.6516843351139304,-0.04815020846411575,-0.45872923362576634,-0.08269356064367071
